Gene name, Transcript overall mass
YAL067C, 2104
YAL064W-B, 1838
YAL063C-A, 2073
YAL062W, 2037
YAL061W, 1995
YAL060W, 2048
YAL059W, 2171
YAL058W, 2153
YAL056W, 1877
YAL055W, 2004
YAL054C, 1858
YAL053W, 2043
YAL049C, 1824
YAL047C, 2142
YAL046C, 2019
YAL044W-A, 1918
YAL044C, 2113
YAL043C, 1930
YAL042W, 1932
YAL041W, 1835
YAL040C, 1999
YAL039C, 2034
YAL038W, 1896
YAL037C-A, 2013
YAL037W, 1988
YAL036C, 1975
YAL035W, 2148
YAL034W-A, 1912
YAL034C, 1964
YAL033W, 2178
YAL032C, 2002
YAL031C, 1949
YAL030W, 1919
YAL028W, 1786
YAL027W, 1853
YAL025C, 2049
YAL023C, 1742
YAL022C, 1871
YAL021C, 1852
YAL020C, 1911
YAL019W, 1869
YAL018C, 1645
YAL016W, 1614
YAL015C, 2034
YAL014C, 1989
YAL013W, 1944
YAL012W, 1970
YAL011W, 1954
YAL010C, 2112
YAL009W, 1849
YAL008W, 2104
YAL007C, 1930
YAL005C, 1796
YAL003W, 1962
YAL002W, 1954
YAR002W, 1947
YAR002C-A, 1904
YAR003W, 2018
YAR007C, 1961
YAR008W, 2057
YAR014C, 1871
YAR015W, 1880
YAR018C, 2288
YAR019C, 1928
YAR023C, 1972
YAR027W, 1942
YAR028W, 1960
YAR029W, 2193
YAR033W, 1925
YAR035W, 1983
YAR042W, 1865
YBL107C, 1999
YBL105C, 2015
YBL104C, 2055
YBL103C, 2043
YBL102W, 1954
YBL101C, 1922
YBL100W-C, 2016
YBL099W, 1910
YBL095W, 2043
YBL093C, 2032
YBL092W, 1965
YBL091C-A, 2005
YBL091C, 1871
YBL090W, 2080
YBL089W, 1875
YBL087C, 1817
YBL086C, 2065
YBL085W, 1790
YBL082C, 1954
YBL081W, 1924
YBL080C, 2047
YBL078C, 2156
YBL076C, 2019
YBL075C, 1824
YBL074C, 1870
YBL072C, 1909
YBL071W-A, 2103
YBL071C, 2007
YBL069W, 1963
YBL068W, 1975
YBL064C, 2048
YBL061C, 2004
YBL060W, 1923
YBL059C-A, 2063
YBL058W, 1987
YBL057C, 2024
YBL056W, 1982
YBL055C, 1960
YBL054W, 1780
YBL052C, 1910
YBL051C, 1829
YBL050W, 1951
YBL049W, 1993
YBL047C, 1946
YBL046W, 1911
YBL045C, 1990
YBL043W, 1932
YBL042C, 1853
YBL041W, 1812
YBL040C, 1951
YBL039W-B, 2119
YBL039C, 1716
YBL038W, 2052
YBL036C, 2008
YBL035C, 1797
YBL033C, 1996
YBL032W, 1860
YBL031W, 2082
YBL030C, 1788
YBL029C-A, 1912
YBL028C, 1851
YBL027W, 1908
YBL026W, 2101
YBL025W, 2035
YBL024W, 2104
YBL023C, 2187
YBL022C, 1985
YBL021C, 1927
YBL020W, 1912
YBL019W, 1862
YBL018C, 2199
YBL016W, 2061
YBL015W, 2040
YBL014C, 1785
YBL011W, 1872
YBL010C, 1954
YBL009W, 2048
YBL008W, 2107
YBL007C, 2046
YBL006C, 1828
YBL005W, 1904
YBL003C, 1528
YBL002W, 1724
YBL001C, 1930
YBR001C, 1937
YBR002C, 1868
YBR003W, 1946
YBR004C, 2022
YBR005W, 1960
YBR006W, 1959
YBR007C, 1998
YBR008C, 2048
YBR009C, 1597
YBR010W, 1871
YBR011C, 1977
YBR014C, 1988
YBR015C, 2123
YBR016W, 1801
YBR017C, 2002
YBR018C, 2087
YBR019C, 1886
YBR020W, 1997
YBR021W, 1892
YBR022W, 1956
YBR023C, 1953
YBR024W, 2082
YBR025C, 1974
YBR026C, 2034
YBR028C, 2054
YBR029C, 1938
YBR030W, 2086
YBR031W, 1863
YBR032W, 2049
YBR033W, 1987
YBR034C, 1875
YBR035C, 1985
YBR036C, 1954
YBR037C, 1992
YBR038W, 1914
YBR039W, 1929
YBR041W, 1957
YBR042C, 2036
YBR043C, 1800
YBR044C, 2062
YBR046C, 2009
YBR047W, 2115
YBR048W, 2005
YBR049C, 1878
YBR050C, 1966
YBR052C, 1940
YBR053C, 1955
YBR054W, 1932
YBR055C, 1987
YBR056W, 2043
YBR056W-A, 2280
YBR057C, 2127
YBR058C, 1805
YBR058C-A, 2002
YBR059C, 1749
YBR060C, 1983
YBR061C, 2125
YBR062C, 2059
YBR063C, 2014
YBR065C, 1993
YBR066C, 1907
YBR067C, 1774
YBR068C, 1853
YBR069C, 1818
YBR070C, 1860
YBR071W, 1945
YBR072W, 2092
YBR074W, 2133
YBR077C, 1997
YBR078W, 1830
YBR079C, 1945
YBR080C, 1840
YBR082C, 1944
YBR083W, 2006
YBR084W, 1973
YBR084C-A, 1908
YBR085W, 1934
YBR085C-A, 1952
YBR086C, 1871
YBR087W, 2058
YBR088C, 2062
YBR089C-A, 1935
YBR091C, 1979
YBR092C, 1848
YBR093C, 1850
YBR094W, 1924
YBR095C, 1961
YBR096W, 2041
YBR098W, 2033
YBR101C, 1970
YBR102C, 2138
YBR103W, 2168
YBR104W, 2028
YBR105C, 1920
YBR106W, 1984
YBR107C, 2049
YBR108W, 1949
YBR109C, 2006
YBR110W, 2091
YBR111C, 2111
YBR111W-A, 2036
YBR112C, 1881
YBR114W, 2101
YBR115C, 2068
YBR118W, 1898
YBR119W, 1959
YBR120C, 1885
YBR121C, 1912
YBR122C, 1894
YBR123C, 1849
YBR125C, 1947
YBR126C, 1762
YBR127C, 1957
YBR128C, 2056
YBR129C, 1776
YBR130C, 1863
YBR131W, 2073
YBR132C, 2068
YBR133C, 1920
YBR135W, 2154
YBR137W, 2051
YBR138C, 2037
YBR139W, 2044
YBR141C, 2022
YBR142W, 1908
YBR143C, 2125
YBR145W, 1965
YBR146W, 1986
YBR147W, 1875
