Gene name, Transcript overall hydropathy
YAL067C, -0.5000000000000018
YAL064W-B, -15.299999999999999
YAL063C-A, 11.8
YAL062W, -10.200000000000001
YAL061W, 0.19999999999999885
YAL060W, -2.0000000000000013
YAL059W, -4.4
YAL058W, 15.0
YAL056W, -13.500000000000002
YAL055W, -18.500000000000007
YAL054C, -11.8
YAL053W, 23.6
YAL049C, 0.5999999999999994
YAL047C, -17.500000000000004
YAL046C, -2.7999999999999994
YAL044W-A, -6.200000000000001
YAL044C, -3.9000000000000017
YAL043C, -1.4000000000000008
YAL042W, 0.8999999999999995
YAL041W, 0.8999999999999992
YAL040C, 2.700000000000001
YAL039C, -11.299999999999999
YAL038W, 4.8000000000000025
YAL037C-A, 10.999999999999998
YAL037W, -11.499999999999998
YAL036C, -5.199999999999999
YAL035W, -35.900000000000006
YAL034W-A, -3.400000000000001
YAL034C, -12.2
YAL033W, 14.299999999999999
YAL032C, -21.400000000000006
YAL031C, -3.800000000000002
YAL030W, -8.300000000000002
YAL028W, -9.6
YAL027W, 11.6
YAL025C, 4.6
YAL023C, -12.600000000000003
YAL022C, -3.599999999999999
YAL021C, -8.0
YAL020C, -1.6999999999999997
YAL019W, -12.5
YAL018C, 20.3
YAL016W, 2.5999999999999996
YAL015C, -5.0
YAL014C, -2.6
YAL013W, -26.500000000000004
YAL012W, -7.1
YAL011W, -8.399999999999999
YAL010C, 0.19999999999999973
YAL009W, -15.000000000000002
YAL008W, 6.6
YAL007C, 26.8
YAL005C, 6.199999999999999
YAL003W, -2.7000000000000006
YAL002W, -21.299999999999997
YAR002W, -11.799999999999999
YAR002C-A, 33.9
YAR003W, 3.9
YAR007C, 1.6999999999999993
YAR008W, 7.500000000000002
YAR014C, -20.200000000000003
YAR015W, 11.399999999999997
YAR018C, -30.400000000000006
YAR019C, -4.200000000000001
YAR023C, 36.6
YAR027W, -12.2
YAR028W, -14.1
YAR029W, -11.600000000000001
YAR033W, -10.299999999999999
YAR035W, -8.2
YAR042W, -4.440892098500626e-16
YBL107C, -5.000000000000002
YBL105C, -8.000000000000002
YBL104C, -3.9
