Gene name, Transcript overall hydropathy
YAL067C, 1.9
YAL064W-B, 1.9
YAL063C-A, 1.9
YAL062W, 1.9
YAL061W, 1.9
YAL060W, 1.9
YAL059W, 1.9
YAL058W, 1.9
YAL056W, 1.9
YAL055W, 1.9
YAL054C, 1.9
YAL053W, 1.9
YAL049C, 1.9
YAL047C, 1.9
YAL046C, 1.9
YAL044W-A, 1.9
YAL044C, 1.9
YAL043C, 1.9
YAL042W, 1.9
YAL041W, 1.9
YAL040C, 1.9
YAL039C, 1.9
YAL038W, 1.9
YAL037C-A, 1.9
YAL037W, 1.9
YAL036C, 1.9
YAL035W, 1.9
YAL034W-A, 1.9
YAL034C, 1.9
YAL033W, 1.9
YAL032C, 1.9
YAL031C, 1.9
YAL030W, 1.9
YAL028W, 1.9
YAL027W, 1.9
YAL025C, 1.9
YAL023C, 1.9
YAL022C, 1.9
YAL021C, 1.9
YAL020C, 1.9
YAL019W, 1.9
YAL018C, 1.9
YAL016W, 1.9
YAL015C, 1.9
YAL014C, 1.9
YAL013W, 1.9
YAL012W, 1.9
YAL011W, 1.9
YAL010C, 1.9
YAL009W, 1.9
YAL008W, 1.9
YAL007C, 1.9
YAL005C, 1.9
YAL003W, 1.9
YAL002W, 1.9
YAR002W, 1.9
YAR002C-A, 1.9
YAR003W, 1.9
YAR007C, 1.9
YAR008W, 1.9
YAR014C, 1.9
YAR015W, 1.9
YAR018C, 1.9
YAR019C, 1.9
YAR023C, 1.9
YAR027W, 1.9
YAR028W, 1.9
YAR029W, 1.9
YAR033W, 1.9
YAR035W, 1.9
YAR042W, 1.9
YBL107C, 1.9
YBL105C, 1.9
YBL104C, 1.9
YBL103C, 1.9
YBL102W, 1.9
YBL101C, 1.9
YBL100W-C, 1.9
YBL099W, 1.9
YBL095W, 1.9
YBL093C, 1.9
YBL092W, 1.9
YBL091C-A, 1.9
YBL091C, 1.9
YBL090W, 1.9
YBL089W, 1.9
YBL087C, 1.9
YBL086C, 1.9
YBL085W, 1.9
YBL082C, 1.9
YBL081W, 1.9
YBL080C, 1.9
YBL078C, 1.9
YBL076C, 1.9
YBL075C, 1.9
YBL074C, 1.9
YBL072C, 1.9
YBL071W-A, 1.9
YBL071C, 1.9
YBL069W, 1.9
YBL068W, 1.9
YBL064C, 1.9
YBL061C, 1.9
YBL060W, 1.9
YBL059C-A, 1.9
YBL058W, 1.9
YBL057C, 1.9
YBL056W, 1.9
YBL055C, 1.9
YBL054W, 1.9
YBL052C, 1.9
YBL051C, 1.9
YBL050W, 1.9
YBL049W, 1.9
YBL047C, 1.9
YBL046W, 1.9
YBL045C, 1.9
YBL043W, 1.9
YBL042C, 1.9
YBL041W, 1.9
YBL040C, 1.9
YBL039W-B, 1.9
YBL039C, 1.9
YBL038W, 1.9
YBL036C, 1.9
YBL035C, 1.9
YBL033C, 1.9
YBL032W, 1.9
YBL031W, 1.9
YBL030C, 1.9
YBL029C-A, 1.9
YBL028C, 1.9
YBL027W, 1.9
YBL026W, 1.9
YBL025W, 1.9
YBL024W, 1.9
YBL023C, 1.9
YBL022C, 1.9
YBL021C, 1.9
YBL020W, 1.9
YBL019W, 1.9
YBL018C, 1.9
YBL016W, 1.9
YBL015W, 1.9
YBL014C, 1.9
YBL011W, 1.9
YBL010C, 1.9
YBL009W, 1.9
YBL008W, 1.9
YBL007C, 1.9
YBL006C, 1.9
YBL005W, 1.9
YBL003C, 1.9
YBL002W, 1.9
YBL001C, 1.9
YBR001C, 1.9
YBR002C, 1.9
YBR003W, 1.9
YBR004C, 1.9
YBR005W, 1.9
YBR006W, 1.9
YBR007C, 1.9
YBR008C, 1.9
YBR009C, 1.9
YBR010W, 1.9
YBR011C, 1.9
YBR014C, 1.9
YBR015C, 1.9
YBR016W, 1.9
YBR017C, 1.9
YBR018C, 1.9
