Gene name, Transcript overall mass
YAL067C, 1488
YAL064W-B, 1307
YAL063C-A, 1451
YAL062W, 1509
YAL061W, 1406
YAL060W, 1478
YAL059W, 1685
YAL058W, 1670
YAL056W, 1401
YAL055W, 1461
YAL054C, 1313
YAL053W, 1507
YAL049C, 1364
YAL047C, 1573
YAL046C, 1496
YAL044W-A, 1419
YAL044C, 1613
YAL043C, 1445
YAL042W, 1413
YAL041W, 1361
YAL040C, 1515
YAL039C, 1549
YAL038W, 1498
YAL037C-A, 1497
YAL037W, 1445
YAL036C, 1399
YAL035W, 1483
YAL034W-A, 1360
YAL034C, 1406
YAL033W, 1604
YAL032C, 1502
YAL031C, 1536
YAL030W, 1381
YAL028W, 1400
YAL027W, 1280
YAL025C, 1512
YAL023C, 1300
YAL022C, 1348
YAL021C, 1399
YAL020C, 1314
YAL019W, 1372
YAL018C, 1233
YAL016W, 1188
YAL015C, 1452
YAL014C, 1474
YAL013W, 1471
YAL012W, 1449
YAL011W, 1466
YAL010C, 1515
YAL009W, 1326
YAL008W, 1502
YAL007C, 1386
YAL005C, 1270
YAL003W, 1408
YAL002W, 1480
YAR002W, 1491
YAR002C-A, 1414
YAR003W, 1439
YAR007C, 1405
YAR008W, 1475
YAR014C, 1497
YAR015W, 1386
YAR018C, 1776
YAR019C, 1432
YAR023C, 1502
YAR027W, 1428
YAR028W, 1428
YAR029W, 1673
YAR033W, 1411
YAR035W, 1454
YAR042W, 1368
YBL107C, 1486
YBL105C, 1503
YBL104C, 1478
YBL103C, 1461
YBL102W, 1411
YBL101C, 1425
YBL100W-C, 1500
YBL099W, 1381
YBL095W, 1531
YBL093C, 1384
YBL092W, 1399
YBL091C-A, 1538
YBL091C, 1356
YBL090W, 1496
YBL089W, 1339
YBL087C, 1276
YBL086C, 1508
YBL085W, 1285
YBL082C, 1398
YBL081W, 1394
YBL080C, 1519
YBL078C, 1543
YBL076C, 1432
YBL075C, 1298
YBL074C, 1356
YBL072C, 1521
YBL071W-A, 1523
YBL071C, 1391
YBL069W, 1451
YBL068W, 1461
YBL064C, 1462
YBL061C, 1423
YBL060W, 1415
YBL059C-A, 1573
YBL058W, 1453
YBL057C, 1469
YBL056W, 1379
YBL055C, 1455
YBL054W, 1340
YBL052C, 1371
YBL051C, 1388
YBL050W, 1437
YBL049W, 1537
YBL047C, 1402
YBL046W, 1406
YBL045C, 1401
YBL043W, 1400
YBL042C, 1334
YBL041W, 1367
YBL040C, 1441
YBL039W-B, 1460
YBL039C, 1330
YBL038W, 1551
YBL036C, 1466
YBL035C, 1385
YBL033C, 1507
YBL032W, 1406
YBL031W, 1565
YBL030C, 1354
YBL029C-A, 1404
YBL028C, 1379
YBL027W, 1480
YBL026W, 1558
YBL025W, 1480
YBL024W, 1528
YBL023C, 1683
YBL022C, 1486
YBL021C, 1427
YBL020W, 1383
YBL019W, 1332
YBL018C, 1652
YBL016W, 1486
YBL015W, 1481
YBL014C, 1328
YBL011W, 1411
YBL010C, 1469
YBL009W, 1448
YBL008W, 1534
YBL007C, 1448
YBL006C, 1402
YBL005W, 1470
YBL003C, 1115
YBL002W, 1285
YBL001C, 1418
YBR001C, 1470
YBR002C, 1309
YBR003W, 1433
YBR004C, 1447
YBR005W, 1418
YBR006W, 1447
YBR007C, 1485
YBR008C, 1550
YBR009C, 1226
YBR010W, 1456
YBR011C, 1448
YBR014C, 1492
YBR015C, 1562
YBR016W, 1328
YBR017C, 1477
YBR018C, 1479
YBR019C, 1361
YBR020W, 1438
YBR021W, 1362
YBR022W, 1418
YBR023C, 1328
YBR024W, 1507
YBR025C, 1520
YBR026C, 1539
YBR028C, 1568
YBR029C, 1421
YBR030W, 1513
YBR031W, 1433
YBR032W, 1451
YBR033W, 1434
YBR034C, 1317
YBR035C, 1469
YBR036C, 1450
YBR037C, 1467
YBR038W, 1487
YBR039W, 1384
YBR041W, 1382
YBR042C, 1539
YBR043C, 1285
YBR044C, 1496
YBR046C, 1483
YBR047W, 1504
YBR048W, 1459
YBR049C, 1363
YBR050C, 1391
YBR052C, 1412
YBR053C, 1405
YBR054W, 1489
YBR055C, 1527
YBR056W, 1510
YBR056W-A, 1657
YBR057C, 1589
YBR058C, 1367
YBR058C-A, 1503
YBR059C, 1331
YBR060C, 1483
YBR061C, 1443
YBR062C, 1502
YBR063C, 1430
YBR065C, 1448
YBR066C, 1437
YBR067C, 1360
YBR068C, 1295
YBR069C, 1420
YBR070C, 1388
YBR071W, 1472
YBR072W, 1564
YBR074W, 1486
YBR077C, 1422
YBR078W, 1374
YBR079C, 1405
YBR080C, 1345
YBR082C, 1428
YBR083W, 1463
YBR084W, 1399
YBR084C-A, 1480
YBR085W, 1417
YBR085C-A, 1408
YBR086C, 1385
YBR087W, 1601
YBR088C, 1446
YBR089C-A, 1381
YBR091C, 1464
YBR092C, 1422
YBR093C, 1436
YBR094W, 1409
YBR095C, 1431
YBR096W, 1551
YBR098W, 1489
YBR101C, 1511
YBR102C, 1501
YBR103W, 1478
YBR104W, 1470
YBR105C, 1366
YBR106W, 1438
YBR107C, 1521
YBR108W, 1519
YBR109C, 1401
YBR110W, 1567
YBR111C, 1526
YBR111W-A, 1432
YBR112C, 1385
YBR114W, 1584
YBR115C, 1569
YBR118W, 1420
YBR119W, 1449
YBR120C, 1345
YBR121C, 1426
YBR122C, 1490
YBR123C, 1365
YBR125C, 1404
YBR126C, 1372
YBR127C, 1444
YBR128C, 1520
YBR129C, 1212
YBR130C, 1392
YBR131W, 1570
YBR132C, 1595
YBR133C, 1393
YBR135W, 1625
YBR137W, 1522
YBR138C, 1535
YBR139W, 1546
YBR141C, 1410
YBR142W, 1407
YBR143C, 1512
YBR145W, 1463
YBR146W, 1562
YBR147W, 1432
YBR149W, 1304
YBR151W, 1574
YBR153W, 1397
YBR154C, 1570
YBR155W, 1279
YBR156C, 1496
YBR157C, 1616
YBR158W, 1386
YBR159W, 1462
YBR160W, 1460
YBR161W, 1478
YBR162C, 1413
YBR162W-A, 1449
YBR163W, 1414
YBR164C, 1455
YBR165W, 1502
YBR166C, 1571
YBR167C, 1450
YBR168W, 1431
YBR169C, 1330
YBR170C, 1501
YBR171W, 1512
YBR172C, 1413
YBR173C, 1458
YBR175W, 1433
YBR176W, 1503
YBR177C, 1440
YBR179C, 1463
YBR181C, 1414
YBR182C-A, 1567
YBR183W, 1578
YBR185C, 1482
YBR187W, 1384
YBR188C, 1495
YBR189W, 1486
YBR191W, 1458
YBR192W, 1584
YBR193C, 1328
YBR194W, 1468
YBR195C, 1468
YBR196C, 1481
YBR196C-A, 1520
YBR197C, 1362
YBR198C, 1472
YBR199W, 1567
YBR200W, 1558
YBR201W, 1352
YBR201C-A, 1407
YBR202W, 1306
YBR203W, 1385
YBR204C, 1430
YBR207W, 1576
YBR209W, 1624
YBR210W, 1291
YBR212W, 1387
YBR213W, 1446
YBR214W, 1318
YBR215W, 1412
YBR216C, 1499
YBR217W, 1487
YBR218C, 1356
YBR220C, 1382
YBR221C, 1457
YBR222C, 1265
