Gene name, Transcript overall size
YAL067C, 3105.0999999999995
YAL064W-B, 2371.5
YAL063C-A, 3033.5999999999995
YAL062W, 2640.9
YAL061W, 2853.7
YAL060W, 2875.9999999999995
YAL059W, 3187.600000000001
YAL058W, 3059.1
YAL056W, 2609.0999999999995
YAL055W, 2590.4999999999995
YAL054C, 2522.7
YAL053W, 2789.0
YAL049C, 2346.8999999999996
YAL047C, 2713.4000000000005
YAL046C, 3007.6
YAL044W-A, 2795.5
YAL044C, 3021.2999999999997
YAL043C, 2663.1
YAL042W, 2763.2999999999997
YAL041W, 2580.2999999999997
YAL040C, 2721.6999999999994
YAL039C, 2556.7
YAL038W, 2698.7000000000003
YAL037C-A, 2813.7
YAL037W, 2763.3
YAL036C, 2762.9999999999995
YAL035W, 2917.7999999999993
YAL034W-A, 2586.6
YAL034C, 2698.9999999999995
YAL033W, 3021.3
YAL032C, 2622.6000000000004
YAL031C, 2666.7
YAL030W, 2575.9
YAL028W, 2371.8
YAL027W, 2762.0999999999995
YAL025C, 2882.6
YAL023C, 2411.3999999999996
YAL022C, 2542.3999999999996
YAL021C, 2579.2999999999997
YAL020C, 2474.6999999999994
YAL019W, 2338.0
YAL018C, 2483.5
YAL016W, 2088.6999999999994
YAL015C, 2959.5
YAL014C, 2853.3999999999996
YAL013W, 2582.2000000000003
YAL012W, 2648.6
YAL011W, 2615.6
YAL010C, 2940.8999999999996
YAL009W, 2334.6
YAL008W, 2925.4
YAL007C, 2908.9
YAL005C, 2497.3999999999996
YAL003W, 2629.2
YAL002W, 2503.7000000000003
YAR002W, 2721.5
YAR002C-A, 2772.5999999999995
YAR003W, 2892.5999999999995
YAR007C, 2729.7000000000003
YAR008W, 3000.7999999999997
YAR014C, 2472.9
YAR015W, 2679.2
YAR018C, 2938.6000000000004
YAR019C, 2578.7
YAR023C, 3099.0999999999995
YAR027W, 2513.2
YAR028W, 2509.4
YAR029W, 3158.5999999999995
YAR033W, 2514.8
YAR035W, 2922.1
YAR042W, 2783.2
YBL107C, 2715.8999999999996
YBL105C, 2863.0
YBL104C, 2932.2999999999993
YBL103C, 2718.8
YBL102W, 2663.3
YBL101C, 2565.1
YBL100W-C, 2943.2000000000003
YBL099W, 2680.4
YBL095W, 2920.8999999999996
YBL093C, 2753.9
YBL092W, 2989.899999999999
YBL091C-A, 2865.8999999999996
YBL091C, 2586.2999999999997
YBL090W, 2890.6
YBL089W, 2372.6
YBL087C, 2388.7
YBL086C, 2927.9999999999995
YBL085W, 2567.1999999999994
YBL082C, 2744.8
YBL081W, 2770.5
YBL080C, 2828.3999999999996
YBL078C, 2895.5000000000005
YBL076C, 2731.5
YBL075C, 2502.6
YBL074C, 2645.2999999999997
YBL072C, 2537.6
YBL071W-A, 2811.6
YBL071C, 2850.3999999999996
YBL069W, 2843.7999999999993
YBL068W, 2569.1
YBL064C, 2860.9
YBL061C, 2802.0
YBL060W, 2541.8999999999996
YBL059C-A, 2822.5
YBL058W, 2709.7
YBL057C, 2739.8
YBL056W, 2558.7000000000003
YBL055C, 2882.5999999999995
YBL054W, 2352.7
YBL052C, 2625.8999999999996
YBL051C, 2378.5000000000005
YBL050W, 2544.6
YBL049W, 2655.9
YBL047C, 2716.1
YBL046W, 2553.9999999999995
YBL045C, 2728.0999999999995
YBL043W, 2640.8999999999996
YBL042C, 2479.1
YBL041W, 2482.8999999999996
YBL040C, 2871.7999999999997
YBL039W-B, 2946.8
YBL039C, 2460.8999999999996
YBL038W, 2884.5
YBL036C, 2764.7999999999993
YBL035C, 2514.7
YBL033C, 2569.899999999999
YBL032W, 2462.5
YBL031W, 2635.3
YBL030C, 2495.1
YBL029C-A, 2656.8
YBL028C, 2611.5
YBL027W, 2622.6999999999994
YBL026W, 3056.6
YBL025W, 2733.3999999999996
YBL024W, 2769.7999999999997
YBL023C, 2689.8000000000006
YBL022C, 2744.0999999999995
YBL021C, 2395.0
YBL020W, 2641.6
YBL019W, 2626.0
YBL018C, 3030.2
YBL016W, 2839.2999999999997
YBL015W, 3013.7999999999997
YBL014C, 2329.2
YBL011W, 2610.0999999999995
YBL010C, 2461.8
YBL009W, 2807.9999999999995
YBL008W, 3098.9
YBL007C, 2835.8999999999996
YBL006C, 2509.7999999999997
YBL005W, 2691.6
YBL003C, 2085.7999999999993
YBL002W, 2419.4
YBL001C, 2571.3999999999996
YBR001C, 2525.4
YBR002C, 2717.8
YBR003W, 2778.1
YBR004C, 3099.2
YBR005W, 2681.8999999999996
YBR006W, 2759.3999999999996
YBR007C, 2610.4999999999995
YBR008C, 2904.0
YBR009C, 2335.7999999999997
YBR010W, 2581.1
YBR011C, 2903.7999999999993
YBR014C, 2952.2
YBR015C, 3206.6
YBR016W, 2446.399999999999
YBR017C, 2796.5
YBR018C, 2758.7000000000003
YBR019C, 2450.2999999999997
YBR020W, 2631.0
YBR021W, 2599.2
YBR022W, 2819.7999999999997
YBR023C, 2579.199999999999
YBR024W, 2722.2999999999997
YBR025C, 2731.2
YBR026C, 2890.5
YBR028C, 2836.7000000000003
YBR029C, 2571.8999999999996
YBR030W, 2812.5
YBR031W, 2464.1
YBR032W, 2889.2
YBR033W, 2771.7999999999993
YBR034C, 2551.7999999999997
YBR035C, 2814.5
YBR036C, 2817.2999999999997
YBR037C, 2806.2999999999997
YBR038W, 2497.6000000000004
YBR039W, 2623.7999999999997
YBR041W, 3022.7000000000003
YBR042C, 2869.4999999999995
YBR043C, 2290.0999999999995
YBR044C, 2779.1
YBR046C, 2800.2
YBR047W, 2951.6999999999994
YBR048W, 2831.0
YBR049C, 2471.7999999999993
YBR050C, 2601.4
YBR052C, 2749.4999999999995
YBR053C, 2871.6000000000004
YBR054W, 2700.4999999999995
YBR055C, 2533.6000000000004
YBR056W, 2741.4999999999995
YBR056W-A, 3019.8
YBR057C, 2758.4999999999995
YBR058C, 2528.7
YBR058C-A, 2841.7
YBR059C, 2349.8999999999996
YBR060C, 2570.2999999999997
YBR061C, 2797.7999999999997
YBR062C, 2747.7999999999997
YBR063C, 2764.2
YBR065C, 2540.1
YBR066C, 2752.9999999999995
YBR067C, 2518.2999999999997
YBR068C, 2405.4
YBR069C, 2502.7999999999997
YBR070C, 2821.6
YBR071W, 2656.7
YBR072W, 2726.5000000000005
YBR074W, 3011.6
YBR077C, 2892.8999999999996
YBR078W, 2476.4999999999995
YBR079C, 2675.8999999999996
YBR080C, 2544.2
YBR082C, 2632.1
YBR083W, 2671.899999999999
YBR084W, 2875.8999999999996
YBR084C-A, 2622.6999999999994
YBR085W, 2564.3999999999996
YBR085C-A, 2591.3999999999996
YBR086C, 2621.1
YBR087W, 2834.2
YBR088C, 2931.2000000000003
YBR089C-A, 2786.1999999999994
YBR091C, 2755.6
YBR092C, 2597.7999999999997
YBR093C, 2573.5000000000005
YBR094W, 2697.3999999999996
YBR095C, 2630.7999999999997
YBR096W, 2946.3999999999996
YBR098W, 2648.2999999999997
YBR101C, 2684.4
YBR102C, 2918.7
YBR103W, 2916.7999999999997
YBR104W, 2799.2000000000003
YBR105C, 2598.3999999999996
YBR106W, 2918.4
YBR107C, 2868.2
YBR108W, 2549.5
YBR109C, 2772.7000000000003
YBR110W, 3155.9999999999995
YBR111C, 3041.7
YBR111W-A, 2711.7
YBR112C, 2584.0999999999995
YBR114W, 2790.4000000000005
YBR115C, 2837.4
YBR118W, 2590.4
YBR119W, 2736.6
YBR120C, 2714.2000000000003
YBR121C, 2763.4999999999995
YBR122C, 2578.6
YBR123C, 2433.2000000000003
YBR125C, 2874.3999999999996
YBR126C, 2367.3999999999996
YBR127C, 2800.7
YBR128C, 2747.2999999999997
YBR129C, 2456.2
YBR130C, 2498.7999999999997
YBR131W, 2747.6
YBR132C, 2846.2
YBR133C, 2710.9999999999995
YBR135W, 2945.5999999999995
YBR137W, 2974.7
YBR138C, 2681.5000000000005
YBR139W, 3048.5999999999995
YBR141C, 2634.2
YBR142W, 2745.0999999999995
YBR143C, 2972.5
YBR145W, 2751.7
YBR146W, 2820.0000000000005
