Gene name, Transcript overall size
YAL067C, 1643.7
YAL064W-B, 1288.0
YAL063C-A, 1594.5
YAL062W, 1517.2
YAL061W, 1466.6000000000001
YAL060W, 1572.1000000000001
YAL059W, 1802.0
YAL058W, 1871.5
YAL056W, 1360.8000000000002
YAL055W, 1475.2
YAL054C, 1339.3
YAL053W, 1643.5000000000002
YAL049C, 1346.7000000000003
YAL047C, 1632.6000000000004
YAL046C, 1629.5
YAL044W-A, 1435.3000000000002
YAL044C, 1708.7000000000003
YAL043C, 1490.2
YAL042W, 1498.8
YAL041W, 1395.2
YAL040C, 1681.1000000000001
YAL039C, 1612.8
YAL038W, 1556.4
YAL037C-A, 1605.4000000000003
YAL037W, 1448.8999999999999
YAL036C, 1521.6999999999998
YAL035W, 1530.6999999999998
YAL034W-A, 1366.3999999999999
YAL034C, 1408.4
YAL033W, 1790.9
YAL032C, 1555.9
YAL031C, 1710.4
YAL030W, 1354.6000000000001
YAL028W, 1424.1000000000001
YAL027W, 1388.5
YAL025C, 1600.5
YAL023C, 1235.3000000000002
YAL022C, 1335.3000000000002
YAL021C, 1403.7
YAL020C, 1295.8000000000002
YAL019W, 1229.0
YAL018C, 1277.7000000000003
YAL016W, 1132.5
YAL015C, 1522.7
YAL014C, 1585.8999999999999
YAL013W, 1421.7000000000003
YAL012W, 1491.2
YAL011W, 1529.8
YAL010C, 1622.4
YAL009W, 1293.5
YAL008W, 1625.1000000000001
YAL007C, 1516.9
YAL005C, 1329.9
YAL003W, 1436.3999999999999
YAL002W, 1423.8000000000002
YAR002W, 1526.8000000000002
YAR002C-A, 1597.1000000000001
YAR003W, 1563.2000000000003
YAR007C, 1414.9
YAR008W, 1593.7000000000003
YAR014C, 1470.1999999999998
YAR015W, 1462.4
YAR018C, 1835.7000000000003
YAR019C, 1383.3000000000002
YAR023C, 1746.4
YAR027W, 1412.8000000000002
YAR028W, 1412.8000000000002
YAR029W, 1823.1999999999998
YAR033W, 1411.4
YAR035W, 1569.9
YAR042W, 1408.9000000000003
YBL107C, 1498.3
YBL105C, 1572.9
YBL104C, 1619.7
YBL103C, 1375.0000000000002
YBL102W, 1352.1000000000001
YBL101C, 1520.6000000000001
YBL100W-C, 1595.4
YBL099W, 1480.7
YBL095W, 1702.6
YBL093C, 1388.3
YBL092W, 1529.7
YBL091C-A, 1727.9000000000003
YBL091C, 1326.6
YBL090W, 1639.1999999999998
YBL089W, 1364.0000000000002
YBL087C, 1253.3000000000002
YBL086C, 1535.1000000000001
YBL085W, 1302.8000000000002
YBL082C, 1356.2000000000003
YBL081W, 1537.9
YBL080C, 1659.5000000000002
YBL078C, 1618.7
YBL076C, 1416.7000000000003
YBL075C, 1334.7000000000003
YBL074C, 1408.8
YBL072C, 1520.8000000000002
YBL071W-A, 1532.3999999999999
YBL071C, 1501.0000000000002
YBL069W, 1514.8999999999999
YBL068W, 1434.5
YBL064C, 1547.1000000000001
YBL061C, 1454.1
YBL060W, 1459.5
YBL059C-A, 1621.2
YBL058W, 1489.2
YBL057C, 1490.7
YBL056W, 1460.5
YBL055C, 1580.2
YBL054W, 1440.7
YBL052C, 1357.2000000000003
YBL051C, 1351.8000000000002
YBL050W, 1518.1000000000001
YBL049W, 1625.2
YBL047C, 1471.1
YBL046W, 1374.0
YBL045C, 1477.9000000000003
YBL043W, 1365.3000000000002
YBL042C, 1268.9
YBL041W, 1360.3
YBL040C, 1513.3
YBL039W-B, 1502.9000000000003
YBL039C, 1461.0
YBL038W, 1648.0
YBL036C, 1438.5
YBL035C, 1444.7
YBL033C, 1491.1000000000001
YBL032W, 1459.9
YBL031W, 1549.6999999999998
YBL030C, 1391.5000000000002
YBL029C-A, 1528.0000000000002
YBL028C, 1435.6999999999998
YBL027W, 1562.8999999999999
YBL026W, 1769.6000000000001
YBL025W, 1433.7
YBL024W, 1582.3000000000002
