Gene name, Transcript overall mass
YAL067C, 149
YAL064W-B, 149
YAL063C-A, 149
YAL062W, 149
YAL061W, 149
YAL060W, 149
YAL059W, 149
YAL058W, 149
YAL056W, 149
YAL055W, 149
YAL054C, 149
YAL053W, 149
YAL049C, 149
YAL047C, 149
YAL046C, 149
YAL044W-A, 149
YAL044C, 149
YAL043C, 149
YAL042W, 149
YAL041W, 149
YAL040C, 149
YAL039C, 149
YAL038W, 149
YAL037C-A, 149
YAL037W, 149
YAL036C, 149
YAL035W, 149
YAL034W-A, 149
YAL034C, 149
YAL033W, 149
YAL032C, 149
YAL031C, 149
YAL030W, 149
YAL028W, 149
YAL027W, 149
YAL025C, 149
YAL023C, 149
YAL022C, 149
YAL021C, 149
YAL020C, 149
YAL019W, 149
YAL018C, 149
YAL016W, 149
YAL015C, 149
YAL014C, 149
YAL013W, 149
YAL012W, 149
YAL011W, 149
YAL010C, 149
YAL009W, 149
YAL008W, 149
YAL007C, 149
YAL005C, 149
YAL003W, 149
YAL002W, 149
YAR002W, 149
YAR002C-A, 149
YAR003W, 149
YAR007C, 149
YAR008W, 149
YAR014C, 149
YAR015W, 149
YAR018C, 149
YAR019C, 149
YAR023C, 149
YAR027W, 149
YAR028W, 149
YAR029W, 149
YAR033W, 149
YAR035W, 149
YAR042W, 149
YBL107C, 149
YBL105C, 149
YBL104C, 149
YBL103C, 149
YBL102W, 149
YBL101C, 149
YBL100W-C, 149
YBL099W, 149
YBL095W, 149
YBL093C, 149
YBL092W, 149
YBL091C-A, 149
YBL091C, 149
YBL090W, 149
YBL089W, 149
YBL087C, 149
YBL086C, 149
YBL085W, 149
YBL082C, 149
YBL081W, 149
YBL080C, 149
YBL078C, 149
YBL076C, 149
YBL075C, 149
YBL074C, 149
YBL072C, 149
YBL071W-A, 149
YBL071C, 149
YBL069W, 149
YBL068W, 149
YBL064C, 149
YBL061C, 149
YBL060W, 149
YBL059C-A, 149
YBL058W, 149
YBL057C, 149
YBL056W, 149
YBL055C, 149
YBL054W, 149
YBL052C, 149
YBL051C, 149
YBL050W, 149
YBL049W, 149
YBL047C, 149
YBL046W, 149
YBL045C, 149
YBL043W, 149
YBL042C, 149
YBL041W, 149
YBL040C, 149
YBL039W-B, 149
YBL039C, 149
YBL038W, 149
YBL036C, 149
YBL035C, 149
YBL033C, 149
YBL032W, 149
YBL031W, 149
YBL030C, 149
YBL029C-A, 149
YBL028C, 149
YBL027W, 149
YBL026W, 149
YBL025W, 149
YBL024W, 149
YBL023C, 149
YBL022C, 149
YBL021C, 149
YBL020W, 149
YBL019W, 149
YBL018C, 149
YBL016W, 149
YBL015W, 149
YBL014C, 149
YBL011W, 149
YBL010C, 149
YBL009W, 149
YBL008W, 149
YBL007C, 149
YBL006C, 149
YBL005W, 149
YBL003C, 149
YBL002W, 149
YBL001C, 149
YBR001C, 149
YBR002C, 149
YBR003W, 149
YBR004C, 149
YBR005W, 149
YBR006W, 149
YBR007C, 149
YBR008C, 149
YBR009C, 149
YBR010W, 149
YBR011C, 149
YBR014C, 149
YBR015C, 149
YBR016W, 149
YBR017C, 149
YBR018C, 149
YBR019C, 149
YBR020W, 149
YBR021W, 149
YBR022W, 149
YBR023C, 149
YBR024W, 149
YBR025C, 149
YBR026C, 149
YBR028C, 149
YBR029C, 149
YBR030W, 149
YBR031W, 149
YBR032W, 149
YBR033W, 149
YBR034C, 149
YBR035C, 149
YBR036C, 149
YBR037C, 149
YBR038W, 149
YBR039W, 149
YBR041W, 149
YBR042C, 149
YBR043C, 149
YBR044C, 149
YBR046C, 149
YBR047W, 149
YBR048W, 149
YBR049C, 149
YBR050C, 149
YBR052C, 149
YBR053C, 149
YBR054W, 149
YBR055C, 149
YBR056W, 149
YBR056W-A, 149
YBR057C, 149
YBR058C, 149
YBR058C-A, 149
YBR059C, 149
YBR060C, 149
YBR061C, 149
YBR062C, 149
YBR063C, 149
YBR065C, 149
YBR066C, 149
YBR067C, 149
YBR068C, 149
YBR069C, 149
YBR070C, 149
YBR071W, 149
YBR072W, 149
YBR074W, 149
YBR077C, 149
YBR078W, 149
YBR079C, 149
YBR080C, 149
YBR082C, 149
YBR083W, 149
YBR084W, 149
YBR084C-A, 149
YBR085W, 149
YBR085C-A, 149
YBR086C, 149
YBR087W, 149
YBR088C, 149
YBR089C-A, 149
YBR091C, 149
YBR092C, 149
YBR093C, 149
YBR094W, 149
YBR095C, 149
YBR096W, 149
YBR098W, 149
YBR101C, 149
YBR102C, 149
YBR103W, 149
YBR104W, 149
YBR105C, 149
YBR106W, 149
YBR107C, 149
YBR108W, 149
YBR109C, 149
YBR110W, 149
YBR111C, 149
YBR111W-A, 149
YBR112C, 149
YBR114W, 149
YBR115C, 149
YBR118W, 149
YBR119W, 149
YBR120C, 149
YBR121C, 149
YBR122C, 149
YBR123C, 149
YBR125C, 149
YBR126C, 149
YBR127C, 149
YBR128C, 149
YBR129C, 149
YBR130C, 149
YBR131W, 149
YBR132C, 149
YBR133C, 149
YBR135W, 149
YBR137W, 149
YBR138C, 149
YBR139W, 149
YBR141C, 149
YBR142W, 149
YBR143C, 149
YBR145W, 149
YBR146W, 149
YBR147W, 149
YBR149W, 149
YBR151W, 149
YBR153W, 149
YBR154C, 149
YBR155W, 149
YBR156C, 149
YBR157C, 149
YBR158W, 149
YBR159W, 149
YBR160W, 149
YBR161W, 149
YBR162C, 149
YBR162W-A, 149
YBR163W, 149
YBR164C, 149
YBR165W, 149
YBR166C, 149
YBR167C, 149
YBR168W, 149
YBR169C, 149
YBR170C, 149
YBR171W, 149
YBR172C, 149
YBR173C, 149
YBR175W, 149
YBR176W, 149
YBR177C, 149
YBR179C, 149
YBR181C, 149
YBR182C-A, 149
YBR183W, 149
YBR185C, 149
YBR187W, 149
YBR188C, 149
YBR189W, 149
YBR191W, 149
YBR192W, 149
YBR193C, 149
YBR194W, 149
YBR195C, 149
YBR196C, 149
YBR196C-A, 149
YBR197C, 149
YBR198C, 149
YBR199W, 149
YBR200W, 149
YBR201W, 149
YBR201C-A, 149
YBR202W, 149
YBR203W, 149
YBR204C, 149
YBR207W, 149
YBR209W, 149
YBR210W, 149
YBR212W, 149
YBR213W, 149
YBR214W, 149
YBR215W, 149
YBR216C, 149
YBR217W, 149
YBR218C, 149
YBR220C, 149
YBR221C, 149
YBR222C, 149
YBR223C, 149
YBR227C, 149
YBR228W, 149
YBR229C, 149
YBR230C, 149
YBR230W-A, 149
YBR231C, 149
YBR233W, 149
YBR233W-A, 149
YBR234C, 149
YBR235W, 149
YBR236C, 149
YBR237W, 149
YBR238C, 149
YBR239C, 149
YBR241C, 149
YBR242W, 149
YBR243C, 149
YBR244W, 149
YBR246W, 149
YBR247C, 149
YBR248C, 149
YBR249C, 149
YBR251W, 149
YBR252W, 149
YBR253W, 149
YBR254C, 149
YBR255W, 149
YBR255C-A, 149
YBR256C, 149
YBR257W, 149
YBR258C, 149
YBR259W, 149
YBR260C, 149
YBR261C, 149
YBR262C, 149
YBR263W, 149
YBR264C, 149
YBR265W, 149
YBR267W, 149
YBR268W, 149
YBR269C, 149
YBR270C, 149
YBR271W, 149
