Gene name, Transcript overall charge
YAL067C, 1
YAL064W-B, -3
YAL063C-A, 2
YAL062W, -4
YAL061W, 3
YAL060W, 3
YAL059W, 2
YAL058W, 1
YAL056W, -2
YAL055W, 4
YAL054C, -1
YAL053W, 1
YAL049C, 0
YAL047C, 5
YAL046C, 4
YAL044W-A, 2
YAL044C, 3
YAL043C, -1
YAL042W, 2
YAL041W, 0
YAL040C, 2
YAL039C, 0
YAL038W, 1
YAL037C-A, 2
YAL037W, -5
YAL036C, -2
YAL035W, 2
YAL034W-A, 1
YAL034C, -1
YAL033W, 2
YAL032C, 4
YAL031C, 4
YAL030W, -1
YAL028W, 2
YAL027W, 1
YAL025C, -2
YAL023C, 1
YAL022C, 0
YAL021C, -1
YAL020C, 1
YAL019W, -3
YAL018C, 0
YAL016W, 1
YAL015C, 4
YAL014C, -3
YAL013W, -1
YAL012W, 1
YAL011W, 1
YAL010C, 0
YAL009W, -3
YAL008W, 2
YAL007C, 1
YAL005C, 0
YAL003W, 0
YAL002W, -2
YAR002W, 5
YAR002C-A, 0
YAR003W, 0
YAR007C, 1
YAR008W, 1
YAR014C, -2
YAR015W, -1
YAR018C, 3
YAR019C, -1
YAR023C, 0
YAR027W, -2
YAR028W, -2
YAR029W, 2
YAR033W, -2
YAR035W, 1
YAR042W, -1
YBL107C, 1
YBL105C, 2
YBL104C, 2
YBL103C, -2
YBL102W, -3
YBL101C, 3
YBL100W-C, 1
YBL099W, 3
YBL095W, 3
YBL093C, -1
YBL092W, 6
YBL091C-A, 2
YBL091C, -3
YBL090W, 5
YBL089W, 2
YBL087C, 2
YBL086C, 5
YBL085W, 1
YBL082C, -1
YBL081W, -1
YBL080C, 4
YBL078C, 3
YBL076C, -2
YBL075C, 0
YBL074C, -1
YBL072C, 4
YBL071W-A, -6
YBL071C, 3
YBL069W, 1
YBL068W, -1
YBL064C, 3
YBL061C, 4
YBL060W, 0
YBL059C-A, 0
YBL058W, -3
YBL057C, 0
YBL056W, 1
YBL055C, 3
YBL054W, 2
YBL052C, 1
YBL051C, -2
YBL050W, 1
YBL049W, 0
YBL047C, 0
YBL046W, -3
YBL045C, 3
YBL043W, -1
YBL042C, -1
YBL041W, -2
YBL040C, 1
YBL039W-B, 1
YBL039C, 1
YBL038W, 2
YBL036C, -1
YBL035C, -1
YBL033C, -1
YBL032W, -1
YBL031W, -2
YBL030C, 1
YBL029C-A, 0
YBL028C, 4
YBL027W, 3
YBL026W, -1
YBL025W, -1
YBL024W, 7
YBL023C, -1
YBL022C, 4
YBL021C, -3
YBL020W, 1
YBL019W, -2
YBL018C, 3
YBL016W, 1
YBL015W, 3
YBL014C, -2
YBL011W, 2
YBL010C, -3
YBL009W, -1
YBL008W, 2
YBL007C, 0
YBL006C, -1
YBL005W, 5
YBL003C, 3
YBL002W, 2
YBL001C, 0
YBR001C, -1
YBR002C, 0
YBR003W, 4
YBR004C, 1
YBR005W, -2
YBR006W, 1
YBR007C, 1
YBR008C, 1
YBR009C, 4
YBR010W, 5
YBR011C, 1
YBR014C, 3
YBR015C, 4
YBR016W, -1
YBR017C, -1
YBR018C, 1
YBR019C, 0
YBR020W, -1
YBR021W, 2
YBR022W, 3
YBR023C, -4
YBR024W, 4
YBR025C, 2
YBR026C, 3
YBR028C, -2
YBR029C, 0
YBR030W, 2
YBR031W, 1
YBR032W, 2
YBR033W, 2
YBR034C, 2
YBR035C, 0
YBR036C, 0
YBR037C, 3
YBR038W, 0
YBR039W, 2
YBR041W, 1
YBR042C, 6
YBR043C, 1
YBR044C, 5
YBR046C, 0
YBR047W, 5
YBR048W, 0
YBR049C, 0
YBR050C, -3
YBR052C, -1
YBR053C, -3
YBR054W, -1
YBR055C, -2
YBR056W, 3
YBR056W-A, 2
YBR057C, -2
YBR058C, -2
YBR058C-A, 3
YBR059C, 1
YBR060C, -3
YBR061C, 4
YBR062C, -1
YBR063C, -2
YBR065C, -4
YBR066C, 0
YBR067C, 1
YBR068C, -1
YBR069C, -2
YBR070C, 1
YBR071W, 2
YBR072W, -2
YBR074W, 6
YBR077C, 2
YBR078W, 1
YBR079C, 2
YBR080C, 3
YBR082C, 0
YBR083W, -1
YBR084W, 2
YBR084C-A, 3
YBR085W, -1
YBR085C-A, 2
YBR086C, -1
YBR087W, 2
YBR088C, 0
YBR089C-A, 3
YBR091C, 0
YBR092C, 1
YBR093C, 1
YBR094W, -2
YBR095C, 0
YBR096W, 1
YBR098W, -2
YBR101C, -1
YBR102C, 4
YBR103W, -1
YBR104W, -5
YBR105C, 1
YBR106W, 0
YBR107C, 2
YBR108W, -1
YBR109C, -3
YBR110W, 0
YBR111C, 4
YBR111W-A, 0
YBR112C, -2
YBR114W, 4
YBR115C, -1
YBR118W, 3
YBR119W, 1
YBR120C, 2
YBR121C, 1
YBR122C, 3
YBR123C, -3
YBR125C, 0
YBR126C, 0
YBR127C, 1
YBR128C, 5
YBR129C, 0
YBR130C, -1
YBR131W, 2
YBR132C, -3
YBR133C, 3
YBR135W, 4
YBR137W, 2
YBR138C, -2
YBR139W, 1
YBR141C, 7
YBR142W, 6
YBR143C, -1
YBR145W, 1
YBR146W, 3
YBR147W, 2
YBR149W, -2
YBR151W, 1
YBR153W, -2
YBR154C, 0
YBR155W, 2
YBR156C, 5
YBR157C, 1
YBR158W, 3
YBR159W, 0
YBR160W, 1
YBR161W, 2
YBR162C, 1
YBR162W-A, 3
YBR163W, 3
YBR164C, 0
YBR165W, 3
YBR166C, 0
YBR167C, 6
YBR168W, 2
YBR169C, -1
YBR170C, 5
YBR171W, -1
YBR172C, -2
YBR173C, 0
YBR175W, 1
YBR176W, 4
YBR177C, 1
YBR179C, 2
YBR181C, 2
YBR182C-A, 1
YBR183W, 0
YBR185C, 2
YBR187W, 2
YBR188C, -2
YBR189W, 3
YBR191W, 5
YBR192W, -4
YBR193C, -1
YBR194W, 1
YBR195C, 0
YBR196C, 0
YBR196C-A, 1
YBR197C, 1
YBR198C, 2
YBR199W, 4
YBR200W, 3
YBR201W, -2
YBR201C-A, 3
YBR202W, -1
YBR203W, 1
YBR204C, 0
YBR207W, -2
YBR209W, 3
YBR210W, 0
YBR212W, 0
YBR213W, 4
YBR214W, 0
YBR215W, 0
YBR216C, -5
YBR217W, -5
YBR218C, 2
YBR220C, 3
YBR221C, 3
YBR222C, -1
YBR223C, 4
YBR227C, 2
YBR228W, 1
YBR229C, 1
YBR230C, 1
YBR230W-A, 0
YBR231C, -3
YBR233W, 0
YBR233W-A, -1
YBR234C, 1
YBR235W, 3
YBR236C, -1
YBR237W, -1
YBR238C, 3
YBR239C, -3
YBR241C, -1
YBR242W, 2
YBR243C, 1
YBR244W, 0
YBR246W, -2
YBR247C, 5
YBR248C, -1
YBR249C, 0
YBR251W, 4
YBR252W, 2
YBR253W, 0
YBR254C, 1
YBR255W, 1
YBR255C-A, 1
YBR256C, -2
YBR257W, 1
YBR258C, 0
YBR259W, -1
YBR260C, 0
YBR261C, -2
YBR262C, 3
YBR263W, 2
YBR264C, -1
YBR265W, -1
YBR267W, 0
YBR268W, 3
YBR269C, 3
YBR270C, 2
YBR271W, -4
YBR272C, -2
YBR273C, -3
YBR274W, 1
YBR276C, -2
YBR278W, 1
YBR279W, 2
YBR280C, -3
YBR281C, 1
YBR282W, 2
YBR283C, 1
YBR285W, 0
YBR286W, 2
YBR287W, 0
YBR288C, 1
YBR289W, 0
YBR290W, -3
YBR291C, 1
YBR296C, 0
YBR297W, 3
YBR298C, 4
YBR299W, 0
YCL064C, 2
YCL063W, -2
YCL059C, -1
YCL058W-A, 5
YCL057C-A, 0
YCL057W, 2
YCL056C, 1
YCL055W, 1
YCL054W, 5
YCL052C, 2
YCL051W, 1
YCL050C, -1
YCL049C, 1
YCL047C, 3
YCL045C, 0
YCL044C, -1
YCL043C, 1
YCL040W, 0
YCL039W, 1
YCL038C, -2
YCL037C, -1
YCL036W, 1
YCL035C, 1
YCL034W, 0
YCL033C, 4
YCL032W, -3
YCL031C, -1
YCL030C, -2
YCL029C, 2
YCL028W, -2
YCL027W, 0
YCL026C-B, 3
YCL026C-A, 2
YCL025C, 1
YCL021W-A, -2
YCL018W, 2
YCL017C, 3
YCL016C, -1
YCL012C, 2
YCL011C, 0
YCL010C, -3
YCL009C, 4
YCL008C, 0
YCL005W-A, 0
YCL005W, -1
YCL004W, 4
YCL002C, 0
YCL001W, -3
YCR002C, -1
YCR003W, 3
YCR004C, 2
YCR005C, 1
YCR006C, 2
YCR007C, -1
YCR008W, -1
YCR009C, 3
YCR010C, -3
YCR011C, 3
YCR012W, 0
YCR015C, -1
YCR016W, 3
YCR017C, 2
YCR019W, -3
YCR020C, 0
YCR020C-A, -1
YCR020W-B, 0
YCR021C, -1
YCR022C, -1
YCR023C, 1
YCR024C, 3
YCR024C-B, -1
YCR024C-A, 0
YCR025C, 2
YCR026C, -5
YCR027C, 0
YCR028C, 1
YCR028C-A, 4
YCR030C, 0
YCR031C, 0
YCR034W, 0
YCR035C, -2
YCR036W, -2
YCR037C, 2
YCR043C, 0
YCR044C, 2
YCR046C, 3
YCR047C, -2
YCR048W, -3
YCR051W, -2
YCR052W, -1
YCR053W, 2
YCR054C, -3
YCR057C, 1
YCR059C, -6
YCR060W, 0
YCR061W, 1
YCR063W, 4
YCR065W, -2
YCR066W, -1
YCR067C, -1
YCR068W, 5
YCR069W, 1
YCR071C, 3
YCR072C, 3
YCR073W-A, 1
YCR075C, -2
YCR075W-A, -1
YCR076C, -3
YCR077C, -1
YCR079W, 2
YCR082W, 2
YCR083W, 3
YCR084C, 0
YCR086W, 1
YCR087C-A, -1
YCR088W, -1
YCR090C, 0
YCR091W, 2
YCR092C, 3
YCR094W, 4
YCR095C, -2
YCR095W-A, 3
YCR097W, -2
YCR098C, -3
YCR099C, 1
YCR102C, 0
YCR106W, 3
YDL243C, -2
YDL241W, 1
YDL240W, 1
YDL238C, 1
YDL237W, 1
YDL236W, 1
YDL235C, -1
YDL234C, 4
YDL233W, 0
YDL232W, -2
YDL230W, 0
YDL229W, -2
YDL227C, -2
YDL226C, 1
YDL225W, 3
YDL224C, 1
YDL222C, 2
YDL220C, -1
YDL219W, 2
YDL218W, 3
YDL217C, -1
YDL216C, 2
YDL215C, 1
YDL213C, 2
YDL212W, -1
YDL211C, 0
YDL209C, 2
YDL208W, 2
YDL207W, -3
YDL206W, 3
YDL205C, 3
YDL204W, 2
YDL203C, 1
YDL202W, 2
YDL201W, 3
YDL200C, -2
YDL199C, 3
YDL198C, 3
YDL197C, 2
YDL195W, 1
YDL193W, 0
YDL192W, 1
YDL191W, 2
YDL190C, -3
YDL189W, 0
YDL188C, -6
YDL186W, -4
YDL185W, 2
YDL184C, 10
YDL183C, 1
YDL182W, 1
YDL181W, 3
YDL180W, 2
YDL179W, 0
YDL178W, 3
YDL177C, 2
YDL176W, 1
YDL175C, -1
YDL174C, 4
YDL170W, 4
YDL169C, -1
YDL168W, 2
YDL167C, 0
YDL166C, 1
YDL165W, 2
YDL164C, 3
YDL161W, 4
YDL160C-A, 0
YDL160C, 0
YDL159W, 5
YDL157C, 0
YDL156W, 0
YDL155W, 4
YDL153C, 3
YDL150W, 2
YDL149W, 0
YDL148C, 3
YDL147W, 0
YDL146W, -1
YDL145C, 4
YDL144C, 1
YDL143W, 2
YDL142C, 1
YDL141W, 0
YDL139C, 7
YDL138W, -1
YDL137W, 1
YDL136W, 2
YDL135C, -5
YDL134C, -5
YDL133C-A, 10
YDL133W, -3
YDL131W, -3
YDL130W-A, 3
YDL130W, -2
YDL129W, 1
YDL128W, 0
YDL127W, 2
YDL126C, -2
YDL125C, 0
YDL124W, 2
YDL123W, -1
YDL122W, -1
YDL121C, 0
YDL120W, 3
YDL119C, 2
YDL117W, 3
YDL116W, 0
YDL115C, 0
YDL113C, -2
YDL112W, 0
YDL111C, -1
YDL110C, 0
YDL108W, 1
YDL107W, 2
YDL106C, -2
YDL105W, 4
YDL104C, 1
YDL103C, -1
YDL101C, 0
YDL100C, -1
YDL099W, -1
YDL098C, 0
YDL097C, 1
YDL095W, -2
YDL093W, 0
YDL092W, 1
YDL091C, -1
YDL090C, 5
YDL089W, -5
YDL088C, 1
YDL087C, 1
YDL086W, -1
YDL085C-A, 3
YDL085W, 4
YDL084W, -5
YDL083C, 3
YDL082W, 4
YDL081C, -1
YDL080C, 2
YDL079C, 2
YDL078C, 1
YDL076C, -1
YDL075W, 0
YDL074C, 1
YDL073W, 1
YDL072C, -1
YDL070W, 3
YDL069C, 3
YDL067C, 3
YDL066W, 3
YDL065C, -7
YDL064W, 2
YDL063C, 6
YDL061C, 3
YDL059C, 0
YDL057W, 2
YDL056W, 0
YDL055C, 3
YDL054C, 3
YDL053C, 0
YDL052C, 2
YDL051W, -2
YDL049C, 0
YDL048C, -1
YDL047W, 0
YDL046W, 2
YDL045W-A, 3
YDL045C, -1
YDL044C, 3
YDL043C, 1
YDL042C, 2
YDL040C, 6
YDL036C, 3
YDL035C, 0
YDL033C, 3
YDL031W, 0
YDL030W, -2
YDL029W, -1
YDL028C, 1
YDL027C, 2
YDL025C, 1
YDL024C, 1
YDL022W, 1
YDL021W, 0
YDL020C, 0
YDL019C, -3
YDL018C, 0
YDL017W, -1
YDL015C, 3
YDL014W, 3
YDL013W, 2
YDL012C, 0
YDL010W, 3
YDL008W, 2
YDL007W, 4
YDL006W, -1
YDL005C, 1
YDL004W, 3
YDL003W, 1
YDL002C, 0
YDL001W, -2
YDR001C, 1
YDR002W, -1
YDR003W, 2
YDR003W-A, 1
YDR005C, -2
YDR006C, 1
YDR007W, 1
YDR009W, 0
YDR010C, -2
YDR011W, 1
YDR012W, 1
YDR013W, 1
YDR014W-A, 3
YDR016C, -2
YDR018C, 5
YDR019C, 4
YDR020C, 1
YDR021W, 0
YDR022C, 2
YDR023W, -2
YDR025W, 0
YDR026C, 0
YDR027C, 1
YDR028C, 1
YDR030C, -1
YDR031W, -5
YDR032C, 2
YDR033W, 0
YDR034C, -4
YDR034W-B, 4
YDR035W, 2
YDR036C, 3
YDR037W, -1
YDR041W, 3
YDR042C, 0
YDR043C, 0
YDR044W, 1
YDR045C, 0
YDR046C, 0
YDR047W, 1
YDR049W, 4
YDR050C, 2
YDR051C, -3
YDR052C, 2
YDR054C, 3
YDR055W, 1
YDR056C, 2
YDR057W, 1
YDR058C, -1
YDR059C, 1
YDR060W, -1
YDR061W, 2
YDR062W, 0
YDR063W, 2
YDR064W, 3
YDR065W, 3
YDR066C, 1
YDR067C, 0
YDR068W, -6
YDR069C, -1
YDR070C, 4
YDR071C, 2
YDR072C, 1
YDR073W, -2
YDR074W, 3
YDR075W, 0
YDR076W, -1
YDR077W, 1
YDR078C, 1
YDR079W, 3
YDR079C-A, 2
YDR080W, -2
YDR081C, 0
YDR082W, 0
YDR083W, 1
YDR084C, 1
YDR085C, -2
YDR086C, 1
YDR087C, 1
YDR088C, 1
YDR089W, 0
YDR090C, 0
YDR091C, 1
YDR092W, 2
YDR096W, -2
YDR097C, 2
YDR098C, -3
YDR099W, 0
YDR100W, 2
YDR101C, 0
YDR103W, -1
YDR104C, -3
YDR105C, 0
YDR106W, 1
YDR107C, 2
YDR108W, 1
YDR109C, 4
YDR110W, -3
YDR111C, 1
YDR113C, -2
YDR115W, 3
YDR116C, 1
YDR117C, 4
YDR119W, 5
YDR119W-A, 2
YDR120C, 3
YDR121W, 2
YDR123C, -2
YDR124W, 1
YDR126W, 0
YDR127W, 0
YDR129C, 3
YDR130C, 3
YDR131C, 0
YDR132C, -1
YDR135C, 2
YDR137W, 2
YDR138W, -2
YDR139C, 2
YDR140W, 0
YDR142C, 2
YDR143C, -1
YDR144C, 0
YDR145W, -1
YDR146C, -1
YDR147W, 0
YDR148C, 3
YDR151C, 0
YDR152W, -4
YDR153C, 1
YDR155C, -3
YDR156W, 3
YDR158W, 2
YDR161W, -1
YDR162C, -1
YDR163W, 2
YDR164C, -1
YDR165W, 1
YDR166C, -1
YDR167W, -8
YDR168W, -2
YDR169C, -1
YDR171W, -1
YDR172W, -1
YDR173C, 1
YDR174W, 1
YDR175C, 3
YDR176W, 6
YDR177W, 4
YDR178W, 4
YDR179C, -2
YDR179W-A, 1
YDR180W, 2
YDR181C, -3
YDR182W, 4
YDR182W-A, 4
YDR183W, -1
YDR184C, -3
YDR185C, -1
YDR186C, -3
YDR188W, 2
YDR189W, 0
YDR190C, -1
YDR191W, 2
YDR192C, 1
YDR194C, 2
YDR195W, 1
YDR196C, 1
YDR197W, 1
YDR198C, 1
YDR200C, 2
YDR201W, -3
YDR202C, -3
YDR204W, 2
YDR205W, 0
YDR207C, 1
YDR208W, 2
YDR210W, 0
YDR211W, 5
YDR212W, 0
YDR213W, 3
YDR214W, 1
YDR215C, 1
YDR219C, -1
YDR221W, -1
YDR222W, 1
YDR223W, 3
YDR224C, 3
YDR225W, 3
YDR226W, 0
YDR227W, 2
YDR228C, -2
YDR229W, -2
YDR231C, 0
YDR232W, 2
YDR233C, 1
YDR234W, 4
YDR235W, -1
YDR236C, 0
YDR237W, 4
YDR238C, -1
YDR239C, 3
YDR240C, 7
YDR242W, 4
YDR243C, 0
YDR244W, -1
YDR245W, 1
YDR246W, 0
YDR247W, 2
YDR248C, 4
YDR249C, 3
YDR251W, 1
YDR252W, 2
YDR253C, -3
YDR254W, -2
YDR255C, -3
YDR256C, -1
YDR257C, -3
YDR258C, 3
YDR259C, 0
YDR260C, 2
YDR261C, 1
YDR262W, 0
YDR263C, 3
YDR264C, -1
YDR265W, 2
YDR266C, 0
YDR267C, 2
YDR268W, 4
YDR270W, 1
YDR272W, 2
YDR273W, 5
YDR274C, 1
YDR275W, 3
YDR276C, 0
YDR277C, 1
YDR279W, -1
YDR280W, -1
YDR281C, -2
YDR282C, 1
YDR284C, 2
YDR286C, 4
YDR287W, -2
YDR288W, -6
YDR289C, 0
YDR291W, 2
YDR292C, -1
YDR293C, 1
YDR294C, 1
YDR295C, 5
YDR296W, 4
YDR297W, 0
YDR298C, 3
YDR299W, -1
YDR300C, 1
YDR301W, -2
YDR302W, 7
YDR303C, 4
YDR304C, 1
YDR305C, 5
YDR306C, 6
YDR307W, 3
YDR308C, -1
YDR309C, -1
YDR311W, 1
YDR312W, 7
YDR313C, 0
YDR315C, 0
YDR316W, 4
YDR317W, -1
YDR318W, -3
YDR319C, 3
YDR320C, 2
YDR320C-A, 0
YDR321W, -2
YDR322W, 5
YDR322C-A, 1
YDR323C, 0
YDR325W, -2
YDR328C, -1
YDR329C, 5
YDR330W, -2
YDR331W, 2
YDR332W, 1
YDR333C, 1
YDR335W, -2
YDR336W, 2
YDR337W, 2
YDR338C, 1
YDR339C, 7
YDR341C, 2
YDR342C, -2
YDR343C, -2
YDR345C, -1
YDR346C, 2
YDR347W, 4
YDR348C, 1
YDR349C, 0
YDR350C, 2
YDR351W, 3
YDR352W, 0
YDR353W, 2
YDR354W, 1
YDR357C, 0
YDR358W, 1
YDR361C, 4
YDR362C, 6
YDR363W, -1
YDR363W-A, -1
YDR364C, -4
YDR365C, 0
YDR367W, 2
YDR368W, 2
YDR370C, -2
YDR371W, 4
YDR372C, 3
YDR373W, 1
YDR374W-A, -1
YDR375C, -1
YDR376W, 3
YDR377W, 3
YDR378C, -1
YDR379W, -1
YDR379C-A, 3
YDR380W, -1
YDR381W, -2
YDR381C-A, 1
YDR382W, 1
YDR383C, -3
YDR384C, -1
YDR385W, 0
YDR386W, -2
YDR387C, -5
YDR388W, 3
YDR389W, 1
YDR390C, -2
YDR391C, -2
YDR392W, 2
YDR393W, 2
YDR394W, -3
YDR395W, -2
YDR397C, -1
YDR398W, -2
YDR399W, 1
YDR400W, -1
YDR404C, 1
YDR405W, 2
YDR407C, 3
YDR408C, 1
YDR410C, -4
YDR411C, 3
YDR412W, 4
YDR414C, -2
YDR415C, 1
YDR416W, 0
YDR418W, 0
YDR419W, 1
YDR421W, 2
YDR422C, 1
YDR423C, 2
YDR424C, -1
YDR425W, -2
YDR427W, 0
YDR428C, 0
YDR429C, -5
YDR430C, 2
YDR434W, 2
YDR435C, -2
YDR436W, 5
YDR437W, 0
YDR438W, 0
YDR439W, 2
YDR440W, -2
YDR441C, 0
YDR444W, 2
YDR447C, 6
YDR448W, 0
YDR449C, 0
YDR450W, 0
YDR451C, 0
YDR452W, 1
YDR453C, 2
YDR454C, 2
YDR456W, 2
YDR458C, 2
YDR459C, 4
YDR460W, -4
YDR461W, 1
YDR461C-A, 1
YDR462W, 3
YDR463W, 3
YDR465C, 0
YDR466W, 3
YDR468C, -2
YDR469W, -2
YDR470C, 0
YDR471W, 4
YDR472W, 0
YDR473C, 3
YDR475C, 0
YDR476C, 0
YDR477W, 0
YDR478W, 1
YDR479C, -2
YDR481C, 1
YDR482C, 2
YDR483W, 3
YDR484W, -2
YDR485C, -4
YDR486C, 3
YDR487C, 0
YDR488C, 3
YDR489W, -5
YDR490C, 0
YDR492W, 2
YDR493W, 4
YDR494W, 4
YDR495C, 4
YDR496C, 5
YDR497C, 2
YDR498C, -3
YDR499W, -4
YDR500C, 5
YDR502C, 1
YDR503C, 1
YDR504C, 0
YDR505C, -2
YDR506C, 2
YDR507C, 0
YDR508C, 3
YDR510W, -2
YDR511W, 4
YDR512C, 1
YDR513W, -2
YDR514C, 2
YDR515W, 0
YDR516C, -1
YDR517W, 2
YDR518W, 1
YDR519W, 0
YDR520C, -1
YDR523C, 1
YDR524C, -1
YDR524C-B, 1
YDR525W-A, 1
YDR527W, -4
YDR528W, -1
YDR529C, 0
YDR530C, 1
YDR531W, -1
YDR532C, -2
YDR533C, 1
YDR534C, 1
YDR536W, 3
YDR538W, 3
YDR539W, 1
YDR540C, -1
YDR541C, 0
YEL073C, 0
YEL072W, -1
YEL071W, 0
YEL068C, 1
YEL066W, -2
YEL065W, -3
YEL064C, -2
YEL063C, -2
YEL062W, 1
YEL061C, -1
YEL060C, 0
YEL059C-A, 1
YEL058W, -2
YEL057C, 1
YEL056W, -5
YEL055C, 2
YEL054C, 0
YEL053C, -4
